"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"Schweiz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5139057,2321951,45.2,2276400,1152598,1123802,50.6
"- Zürich","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",881041,372874,42.3,367106,192685,174421,52.5
">> Bezirk Affoltern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",33024,14825,44.9,14599,7029,7570,48.1
"......Aeugst am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1359,584,43.0,580,279,301,48.1
"......Affoltern am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6788,2812,41.4,2750,1382,1368,50.3
"......Bonstetten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3583,1696,47.3,1681,778,903,46.3
"......Hausen am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2360,1121,47.5,1098,533,565,48.5
"......Hedingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2384,1085,45.5,1072,503,569,46.9
"......Kappel am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",657,302,46.0,301,152,149,50.5
"......Knonau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1326,620,46.8,616,308,308,50.0
"......Maschwanden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",471,236,50.1,235,124,111,52.8
"......Mettmenstetten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3051,1386,45.4,1367,685,682,50.1
"......Obfelden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3096,1315,42.5,1292,614,678,47.5
"......Ottenbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1822,817,44.8,805,407,398,50.6
"......Rifferswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",676,287,42.5,283,151,132,53.4
"......Stallikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2230,1013,45.4,993,429,564,43.2
"......Wettswil am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3221,1551,48.2,1526,684,842,44.8
">> Bezirk Andelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",21225,10205,48.1,10060,5168,4892,51.4
"......Adlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",467,245,52.5,244,116,128,47.5
"......Benken (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",610,270,44.3,264,130,134,49.2
"......Berg am Irchel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",467,266,57.0,266,123,143,46.2
"......Buch am Irchel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",642,333,51.9,330,154,176,46.7
"......Dachsen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1300,586,45.1,576,307,269,53.3
"......Dorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",456,217,47.6,214,89,125,41.6
"......Feuerthalen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2237,952,42.6,932,537,395,57.6
"......Flaach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",881,419,47.6,415,193,222,46.5
"......Flurlingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",986,480,48.7,476,268,208,56.3
"......Andelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1393,765,54.9,757,385,372,50.9
"......Henggart","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1548,745,48.1,738,351,387,47.6
"......Humlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",355,173,48.7,168,69,99,41.1
"......Kleinandelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1429,665,46.5,659,354,305,53.7
"......Laufen-Uhwiesen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1112,570,51.3,560,282,278,50.4
"......Marthalen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1480,728,49.2,719,366,353,50.9
"......Oberstammheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",850,417,49.1,408,211,197,51.7
"......Ossingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1007,475,47.2,464,255,209,55.0
"......Rheinau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",900,410,45.6,406,231,175,56.9
"......Thalheim an der Thur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",611,287,47.0,285,140,145,49.1
"......Trüllikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",803,348,43.3,342,174,168,50.9
"......Truttikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",338,173,51.2,167,80,87,47.9
"......Unterstammheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",634,331,52.2,325,166,159,51.1
"......Volken","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",212,101,47.6,101,55,46,54.5
"......Waltalingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",507,249,49.1,244,132,112,54.1
">> Bezirk Bülach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",82649,31556,38.2,31130,15411,15719,49.5
"......Bachenbülach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2468,903,36.6,887,440,447,49.6
"......Bassersdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6965,2552,36.6,2525,1262,1263,50.0
"......Bülach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",11043,3915,35.5,3843,2032,1811,52.9
"......Dietlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4543,1893,41.7,1874,912,962,48.7
"......Eglisau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2927,1397,47.7,1379,703,676,51.0
"......Embrach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5462,1951,35.7,1929,912,1017,47.3
"......Freienstein-Teufen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1611,664,41.2,654,317,337,48.5
"......Glattfelden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2976,1110,37.3,1090,545,545,50.0
"......Hochfelden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1346,502,37.3,498,216,282,43.4
"......Höri","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1376,446,32.4,443,179,264,40.4
"......Hüntwangen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",732,363,49.6,358,177,181,49.4
"......Kloten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10802,3611,33.4,3557,1938,1619,54.5
"......Lufingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1162,453,39.0,446,220,226,49.3
"......Nürensdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3765,1690,44.9,1675,760,915,45.4
"......Oberembrach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",769,339,44.1,337,150,187,44.5
"......Opfikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7666,2494,32.5,2453,1208,1245,49.2
"......Rafz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2694,1372,50.9,1347,670,677,49.7
"......Rorbas","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1508,507,33.6,505,259,246,51.3
"......Wallisellen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8567,3430,40.0,3388,1617,1771,47.7
"......Wasterkingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",419,197,47.0,197,106,91,53.8
