Kreis (r=12.5);x;y;Deckungsgrad Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684900;237175;1;55;68
1;684875;237125;5;85;70
2;684875;237175;3;35;85
3;684875;237250;20;68;95
4;684850;237225;5;60;60
5;684800;237275;1;95;40
6;684800;237325;30;45;60
7;684800;237350;50;65;75
8;684775;237100;75;18;40
9;684775;237125;90;45;50
10;684725;237375;4;50;50
11;684700;237325;85;20;44
12;684675;237175;4;90;40
13;684675;237350;65;35;40
14;684675;237400;90;10;25
15;684625;237450;15;55;45
16;684500;237350;7;40;25
17;684500;237425;45;35;70
18;684475;237300;5;90;70
19;684475;237325;80;40;30
20;684425;237225;10;65;35
21;684425;237325;8;80;65
22;684425;237375;80;20;30
23;684400;237300;8;10;15
24;684400;237425;2;6;20
