Kreis;X;Y;Deckungsgrad Rubus sp.;DG Strauchschicht;DG Baumschicht
0;684825;237125;60;40;50
1;684800;237075;30;30;35
2;684800;237400;15;45;70
3;684775;237275;25;30;60
4;684725;237300;30;10;40
5;684700;237250;20;5;80
6;684700;237500;40;25;50
7;684675;237200;10;10;65
8;684675;237375;10;25;40
9;684650;237150;5;20;70
10;684650;237200;1;15;80
11;684650;237275;40;35;70
12;684650;237450;70;30;30
13;684650;237525;5;20;60
14;684650;237575;50;30;45
15;684625;237200;0;30;60
16;684600;237225;5;30;50
17;684600;237600;70;15;35
18;684575;237275;20;20;60
19;684575;237350;5;10;70
20;684525;237250;5;10;20
21;684525;237325;10;30;60
22;684525;237575;17;15;15
23;684500;237325;60;15;40
24;684850;237275;15;20;50
