 

stn;time;tre200jx;rre150j0;sremaxdv
WAE;20090101;2.1;0.0;55
WAE;20090102;-0.7;0.0;0
WAE;20090103;-2.9;0.0;0
WAE;20090104;-3.4;0.0;18
WAE;20090105;-3.9;0.0;0
WAE;20090106;-2.6;0.1;0
WAE;20090107;-3.1;0.0;0
WAE;20090108;-3.4;0.0;0
WAE;20090109;-3.7;0.0;0
WAE;20090110;-4.3;0.0;0
WAE;20090111;-4.2;0.0;0
WAE;20090112;-3.5;0.0;5
WAE;20090113;-3.5;0.0;0
WAE;20090114;-1.0;0.0;6
WAE;20090115;2.1;0.0;46
WAE;20090116;0.2;0.0;46
WAE;20090117;1.8;0.0;49
WAE;20090118;4.1;1.7;0
WAE;20090119;5.7;3.7;9
WAE;20090120;2.3;3.4;0
WAE;20090121;3.0;0.0;1
WAE;20090122;1.5;0.0;49
WAE;20090123;8.3;9.8;0
WAE;20090124;3.5;0.0;0
WAE;20090125;5.1;0.0;94
WAE;20090126;3.3;0.0;81
WAE;20090127;1.0;0.0;0
WAE;20090128;0.3;0.0;0
WAE;20090129;1.1;0.0;0
WAE;20090130;1.6;0.0;3
WAE;20090131;-1.1;0.0;0
WAE;20090201;-1.7;0.3;0
WAE;20090202;1.8;0.0;12
WAE;20090203;7.9;0.0;88
WAE;20090204;7.2;0.0;79
WAE;20090205;8.5;0.0;69
WAE;20090206;7.5;0.0;44
WAE;20090207;4.8;1.1;0
WAE;20090208;1.3;5.0;0
WAE;20090209;2.3;0.0;22
WAE;20090210;9.6;0.1;7
WAE;20090211;1.9;0.8;18
WAE;20090212;0.6;5.1;12
WAE;20090213;0.2;0.0;41
WAE;20090214;-1.0;2.7;0
WAE;20090215;-1.1;0.0;67
WAE;20090216;0.7;0.0;21
WAE;20090217;2.0;28.2;0
WAE;20090218;-3.1;0.0;1
WAE;20090219;-1.7;0.0;57
WAE;20090220;0.3;0.0;0
WAE;20090221;3.6;0.8;21
WAE;20090222;2.5;3.4;0
WAE;20090223;3.7;0.8;0
WAE;20090224;3.3;0.4;2
WAE;20090225;4.1;0.0;99
WAE;20090226;5.7;0.0;6
WAE;20090227;6.4;0.2;44
WAE;20090228;9.0;0.0;101
WAE;20090301;9.9;0.0;9
WAE;20090302;7.0;3.3;0
WAE;20090303;6.6;0.5;1
WAE;20090304;3.3;0.0;0
WAE;20090305;2.9;7.9;0
WAE;20090306;2.5;6.7;0
WAE;20090307;5.6;0.0;57
WAE;20090308;7.0;0.0;38
WAE;20090309;6.1;1.6;23
WAE;20090310;5.1;4.9;7
WAE;20090311;6.4;0.1;30
WAE;20090312;5.3;0.0;0
WAE;20090313;12.2;0.0;39
WAE;20090314;13.1;0.0;54
WAE;20090315;9.4;0.2;0
WAE;20090316;11.6;0.0;99
WAE;20090317;13.4;0.0;85
WAE;20090318;11.9;0.0;86
WAE;20090319;10.3;0.0;27
WAE;20090320;4.9;0.5;29
WAE;20090321;5.8;0.0;99
WAE;20090322;10.2;0.0;49
WAE;20090323;12.3;0.0;34
WAE;20090324;4.5;2.9;22
WAE;20090325;5.9;0.3;3
WAE;20090326;10.7;0.0;17
WAE;20090327;14.6;1.5;30
WAE;20090328;9.7;9.2;15
WAE;20090329;6.3;0.1;0
WAE;20090330;7.4;0.0;0
WAE;20090331;7.4;0.0;0
WAE;20090401;9.1;0.0;0
WAE;20090402;13.9;0.0;20
WAE;20090403;16.9;0.0;61
WAE;20090404;16.4;0.0;53
WAE;20090405;17.7;0.0;84
WAE;20090406;19.5;0.0;92
WAE;20090407;19.9;0.0;94
WAE;20090408;17.4;0.0;43
WAE;20090409;19.5;0.0;93
WAE;20090410;21.6;0.0;98
WAE;20090411;21.9;0.0;94
WAE;20090412;20.1;0.0;42
WAE;20090413;21.2;0.0;95
WAE;20090414;21.2;0.0;96
WAE;20090415;22.8;0.0;89
WAE;20090416;17.7;2.2;20
WAE;20090417;14.5;0.3;41
WAE;20090418;16.1;0.0;55
WAE;20090419;16.8;0.0;68
WAE;20090420;19.2;0.0;48
WAE;20090421;19.7;0.0;72
WAE;20090422;20.9;5.3;61
WAE;20090423;15.9;0.0;60
WAE;20090424;17.2;0.0;85
WAE;20090425;22.1;0.0;91
WAE;20090426;22.4;0.0;40
WAE;20090427;12.8;3.0;0
WAE;20090428;9.5;10.6;0
WAE;20090429;11.1;5.9;13
WAE;20090430;13.2;0.0;22
WAE;20090501;17.6;0.0;87
WAE;20090502;15.9;3.4;19
WAE;20090503;20.3;0.0;85
WAE;20090504;10.0;6.7;5
WAE;20090505;13.8;0.0;9
WAE;20090506;20.2;0.0;63
WAE;20090507;22.4;0.0;98
WAE;20090508;23.5;8.4;43
WAE;20090509;22.1;2.5;55
WAE;20090510;22.0;0.0;40
WAE;20090511;20.3;0.0;33
WAE;20090512;22.4;0.6;21
WAE;20090513;23.0;15.4;29
WAE;20090514;21.4;0.1;17
WAE;20090515;17.6;0.0;3
WAE;20090516;18.9;0.0;66
WAE;20090517;26.1;0.0;62
WAE;20090518;15.3;0.0;5
WAE;20090519;22.2;0.0;76
WAE;20090520;26.6;0.0;97
WAE;20090521;25.9;0.1;48
WAE;20090522;22.4;0.0;54
