DatumUhrzeit;Fuss_IN;Fuss_Out;Velo_IN;Velo_OUT
1.1.2016 00:00;0;1.139;0;0
1.1.2016 01:00;0;0;0;0
1.1.2016 02:00;0;0;0;0
1.1.2016 03:00;0;0;0;0
1.1.2016 04:00;0;0;0;0
1.1.2016 05:00;0;0;0;0
1.1.2016 06:00;0;0;0;0
1.1.2016 07:00;0;0;0;0
1.1.2016 08:00;0;1.139;0;0
1.1.2016 09:00;1.685;1.139;1.065;0
1.1.2016 10:00;5.054;4.554;0;0
1.1.2016 11:00;5.897;7.97;0;1.027
1.1.2016 12:00;3.37;5.693;0;1.027
1.1.2016 13:00;4.212;2.277;2.131;1.027
1.1.2016 14:00;7.582;6.832;2.131;3.082
1.1.2016 15:00;8.424;13.663;2.131;1.027
1.1.2016 16:00;4.212;4.554;1.065;1.027
1.1.2016 17:00;0.842;7.97;3.196;3.082
1.1.2016 18:00;0;0;0;0
1.1.2016 19:00;0;0;0;0
1.1.2016 20:00;0;0;0;0
1.1.2016 21:00;0;0;0;0
1.1.2016 22:00;0;0;0;0
1.1.2016 23:00;0;0;0;0
2.1.2016 00:00;0;0;0;0
2.1.2016 01:00;0;0;0;0
2.1.2016 02:00;0;0;0;0
2.1.2016 03:00;0;0;0;0
2.1.2016 04:00;0;0;0;0
2.1.2016 05:00;0;0;0;0
2.1.2016 06:00;0;0;0;0
2.1.2016 07:00;0;0;0;0
2.1.2016 08:00;0;1.139;0;0
2.1.2016 09:00;1.685;0;1.065;0
2.1.2016 10:00;6.739;2.277;0;1.027
2.1.2016 11:00;2.527;7.97;2.131;0
2.1.2016 12:00;2.527;6.832;0;2.055
2.1.2016 13:00;1.685;2.277;1.065;1.027
2.1.2016 14:00;2.527;1.139;1.065;0
2.1.2016 15:00;0.842;0;0;0
2.1.2016 16:00;1.685;2.277;0;0
2.1.2016 17:00;0;0;0;0
2.1.2016 18:00;0;0;0;0
2.1.2016 19:00;0;0;0;0
2.1.2016 20:00;0;0;0;0
2.1.2016 21:00;0;0;0;0
2.1.2016 22:00;0;0;0;0
2.1.2016 23:00;0;0;0;0
3.1.2016 00:00;0;0;0;0
3.1.2016 01:00;0;0;0;0
3.1.2016 02:00;0;0;0;0
3.1.2016 03:00;0;0;0;0
3.1.2016 04:00;0;0;0;0
3.1.2016 05:00;0;0;0;0
3.1.2016 06:00;0;0;0;0
3.1.2016 07:00;0;1.139;0;0
3.1.2016 08:00;1.685;1.139;1.065;1.027
3.1.2016 09:00;3.37;5.693;1.065;0
3.1.2016 10:00;5.054;2.277;0;0
3.1.2016 11:00;14.321;11.386;2.131;2.055
3.1.2016 12:00;13.478;14.802;5.327;1.027
3.1.2016 13:00;8.424;10.247;11.718;6.164
3.1.2016 14:00;16.848;18.218;10.653;9.246
3.1.2016 15:00;7.582;9.109;4.261;3.082
3.1.2016 16:00;3.37;4.554;0;8.218
3.1.2016 17:00;0.842;1.139;3.196;0
3.1.2016 18:00;0;0;0;0
3.1.2016 19:00;0;0;0;0
3.1.2016 20:00;0;0;0;0
3.1.2016 21:00;0;0;0;0
3.1.2016 22:00;0;0;0;0
3.1.2016 23:00;0;0;0;0
4.1.2016 00:00;0;0;0;0
4.1.2016 01:00;0;0;0;0
4.1.2016 02:00;0;0;0;0
4.1.2016 03:00;0;0;0;0
4.1.2016 04:00;0;0;0;0
4.1.2016 05:00;0;0;0;0
4.1.2016 06:00;0;0;0;1.027
4.1.2016 07:00;0.842;0;0;0
4.1.2016 08:00;1.685;0;1.065;0
4.1.2016 09:00;0.842;0;0;0
4.1.2016 10:00;1.685;3.416;0;0
4.1.2016 11:00;0;0;0;0
4.1.2016 12:00;0;1.139;0;0
4.1.2016 13:00;2.527;0;0;1.027
4.1.2016 14:00;0.842;1.139;0;0
4.1.2016 15:00;0;0;0;0
4.1.2016 16:00;1.685;0;1.065;0
4.1.2016 17:00;0.842;2.277;1.065;1.027
4.1.2016 18:00;0;0;0;0
4.1.2016 19:00;0;0;0;0
4.1.2016 20:00;0;0;0;0
4.1.2016 21:00;0;0;0;0
4.1.2016 22:00;0;0;0;0
4.1.2016 23:00;0;0;0;0
5.1.2016 00:00;0;0;0;0
5.1.2016 01:00;0;0;0;0
5.1.2016 02:00;0;0;0;0
5.1.2016 03:00;0;0;0;0
5.1.2016 04:00;0;0;0;0
5.1.2016 05:00;0;0;0;0
5.1.2016 06:00;0;0;0;0
5.1.2016 07:00;0.842;0;0;0
5.1.2016 08:00;0.842;0;0;0
5.1.2016 09:00;4.212;4.554;1.065;0
5.1.2016 10:00;6.739;2.277;2.131;0
5.1.2016 11:00;1.685;10.247;1.065;0
5.1.2016 12:00;0;1.139;0;1.027
