Person_Auswertung;Kamerastandort;ID_Foto;Datum;Stunde;Art;Anzahl;Richtung;Aktivität;Begleittier;Wildtier
Bsp;ost;bsp_001;08.10.2020;3;Mensch;3;Bergauf;Spaziergänger;Hund_ohne_Leine;0
Bsp;ost;bsp_002;07.10.2020;0;Wildtier;4;Bergauf;0;0;Hase
Bsp;ost;bsp_003;06.10.2020;16;Wildtier;1;Bergauf;0;0;Hase
Bsp;ost;bsp_004;09.10.2020;24;Wildtier;6;Bergab;0;0;Hase
Bsp;ost;bsp_005;07.10.2020;17;Wildtier;7;Bergauf;0;0;Fuchs
Bsp;ost;bsp_006;12.10.2020;23;Mensch;10;Bergauf;Unbestimmbar;Anderes;0
Bsp;ost;bsp_007;09.10.2020;14;Mensch;2;Bergauf;Anderes;Hund_ohne_Leine;0
Bsp;ost;bsp_008;11.10.2020;7;Mensch;6;Bergauf;Anderes;Hund_angeleint;0
Bsp;ost;bsp_009;07.10.2020;5;Mensch;9;Bergab;Spaziergänger;Anderes;0
Bsp;ost;bsp_010;08.10.2020;23;Mensch;6;Bergab;Anderes;Hund_angeleint;0
Bsp;ost;bsp_011;07.10.2020;15;Mensch;1;Unbestimmbar;Landwirtschaft;0;0
Bsp;ost;bsp_012;06.10.2020;17;Mensch;5;Unbestimmbar;Biker;0;0
Bsp;ost;bsp_013;07.10.2020;23;Wildtier;2;Bergauf;0;0;Fuchs
Bsp;ost;bsp_014;10.10.2020;22;Mensch;5;Unbestimmbar;Spaziergänger;Hund_angeleint;0
Bsp;ost;bsp_015;10.10.2020;22;Wildtier;9;Bergauf;0;0;Fuchs
Bsp;ost;bsp_016;12.10.2020;15;Wildtier;7;Bergab;0;0;Hase
Bsp;ost;bsp_017;06.10.2020;0;Wildtier;3;Unbestimmbar;0;0;Hase
Bsp;ost;bsp_018;09.10.2020;9;Wildtier;7;Bergab;0;0;Reh
Bsp;ost;bsp_019;08.10.2020;14;Mensch;6;Bergauf;Anderes;0;0
Bsp;ost;bsp_020;11.10.2020;17;Wildtier;1;Unbestimmbar;0;0;Fuchs
Bsp;ost;bsp_021;08.10.2020;1;Wildtier;0;Bergab;0;0;Reh
Bsp;ost;bsp_022;12.10.2020;12;Wildtier;1;Bergauf;0;0;Hase
Bsp;ost;bsp_023;10.10.2020;6;Mensch;6;Bergauf;Landwirtschaft;Hund_angeleint;0
Bsp;ost;bsp_024;10.10.2020;8;Mensch;6;Bergauf;Biker;Anderes;0
Bsp;ost;bsp_025;08.10.2020;10;Mensch;2;Bergab;Unbestimmbar;Hund_angeleint;0
Bsp;ost;bsp_026;12.10.2020;10;Wildtier;9;Unbestimmbar;0;0;Reh
Bsp;ost;bsp_027;12.10.2020;3;Mensch;6;Bergauf;Anderes;0;0
Bsp;ost;bsp_028;12.10.2020;22;Wildtier;5;Bergauf;0;0;Anderes
Bsp;ost;bsp_029;07.10.2020;22;Wildtier;10;Unbestimmbar;0;0;Fuchs
Bsp;ost;bsp_030;07.10.2020;15;Wildtier;9;Bergauf;0;0;Hase
Bsp;ost;bsp_031;08.10.2020;7;Mensch;1;Bergauf;Spaziergänger;Anderes;0
Bsp;ost;bsp_032;08.10.2020;23;Wildtier;2;Bergab;0;0;Hase
Bsp;ost;bsp_033;06.10.2020;0;Mensch;5;Bergauf;Anderes;Hund_angeleint;0
Bsp;ost;bsp_034;09.10.2020;24;Wildtier;9;Bergauf;0;0;Fuchs
Bsp;ost;bsp_035;08.10.2020;19;Mensch;3;Bergauf;Unbestimmbar;Hund_angeleint;0
Bsp;ost;bsp_036;12.10.2020;21;Mensch;6;Bergab;Unbestimmbar;Anderes;0
Bsp;ost;bsp_037;06.10.2020;22;Wildtier;4;Unbestimmbar;0;0;Reh
Bsp;ost;bsp_038;07.10.2020;2;Mensch;9;Bergauf;Unbestimmbar;0;0
Bsp;ost;bsp_039;12.10.2020;8;Wildtier;4;Bergauf;0;0;Hase
Bsp;ost;bsp_040;07.10.2020;20;Mensch;9;Bergauf;Anderes;Hund_angeleint;0
Bsp;ost;bsp_041;07.10.2020;6;Mensch;5;Bergauf;Spaziergänger;Anderes;0
Bsp;ost;bsp_042;11.10.2020;14;Mensch;6;Bergauf;Spaziergänger;0;0
Bsp;ost;bsp_043;09.10.2020;22;Mensch;2;Bergab;Spaziergänger;0;0
Bsp;ost;bsp_044;12.10.2020;7;Wildtier;6;Bergab;0;0;Reh
Bsp;ost;bsp_045;11.10.2020;12;Wildtier;6;Bergauf;0;0;Anderes
Bsp;ost;bsp_046;12.10.2020;22;Mensch;1;Unbestimmbar;Biker;Hund_angeleint;0
Bsp;ost;bsp_047;11.10.2020;15;Mensch;8;Bergab;Anderes;Hund_ohne_Leine;0
Bsp;ost;bsp_048;12.10.2020;17;Wildtier;2;Bergauf;0;0;Reh
Bsp;ost;bsp_049;07.10.2020;21;Mensch;10;Bergab;Landwirtschaft;0;0
Bsp;west;bsp_050;09.10.2020;11;Mensch;7;Bergab;Unbestimmbar;Hund_ohne_Leine;0
Bsp;west;bsp_051;11.10.2020;5;Wildtier;8;Bergauf;0;0;Reh
Bsp;west;bsp_052;11.10.2020;20;Mensch;2;Bergauf;Unbestimmbar;Hund_angeleint;0
Bsp;west;bsp_053;07.10.2020;3;Mensch;0;Unbestimmbar;Biker;Anderes;0
Bsp;west;bsp_054;08.10.2020;20;Wildtier;4;Unbestimmbar;0;0;Fuchs
Bsp;west;bsp_055;07.10.2020;6;Mensch;0;Bergab;Unbestimmbar;Hund_angeleint;0
Bsp;west;bsp_056;10.10.2020;14;Wildtier;8;Bergauf;0;0;Reh
Bsp;west;bsp_057;11.10.2020;9;Wildtier;7;Unbestimmbar;0;0;Fuchs
Bsp;west;bsp_058;10.10.2020;12;Wildtier;8;Bergab;0;0;Fuchs
Bsp;west;bsp_059;12.10.2020;16;Mensch;2;Unbestimmbar;Biker;Hund_angeleint;0
Bsp;west;bsp_060;08.10.2020;16;Mensch;8;Bergauf;Biker;Hund_ohne_Leine;0
Bsp;west;bsp_061;10.10.2020;8;Mensch;7;Bergab;Spaziergänger;Anderes;0
Bsp;west;bsp_062;06.10.2020;19;Mensch;3;Bergab;Unbestimmbar;0;0
Bsp;west;bsp_063;10.10.2020;4;Wildtier;9;Bergauf;0;0;Anderes
Bsp;west;bsp_064;10.10.2020;3;Mensch;8;Bergauf;Anderes;Hund_angeleint;0
Bsp;west;bsp_065;10.10.2020;16;Mensch;9;Bergab;Unbestimmbar;Hund_ohne_Leine;0
Bsp;west;bsp_066;09.10.2020;11;Wildtier;0;Bergab;0;0;Hase
Bsp;west;bsp_067;12.10.2020;20;Mensch;3;Bergab;Unbestimmbar;Anderes;0
Bsp;west;bsp_068;06.10.2020;7;Wildtier;4;Bergauf;0;0;Reh
Bsp;west;bsp_069;07.10.2020;24;Mensch;2;Bergauf;Biker;Hund_angeleint;0
Bsp;west;bsp_070;09.10.2020;2;Mensch;8;Bergauf;Biker;Anderes;0
Bsp;west;bsp_071;10.10.2020;2;Wildtier;0;Unbestimmbar;0;0;Fuchs
Bsp;west;bsp_072;06.10.2020;16;Mensch;1;Unbestimmbar;Spaziergänger;Hund_ohne_Leine;0
Bsp;west;bsp_073;11.10.2020;4;Mensch;2;Unbestimmbar;Biker;Anderes;0
Bsp;west;bsp_074;08.10.2020;13;Wildtier;3;Bergab;0;0;Anderes
Bsp;west;bsp_075;09.10.2020;15;Mensch;0;Bergab;Spaziergänger;0;0
Bsp;west;bsp_076;12.10.2020;19;Mensch;8;Unbestimmbar;Anderes;Anderes;0
Bsp;west;bsp_077;11.10.2020;9;Mensch;1;Bergab;Landwirtschaft;0;0
Bsp;west;bsp_078;10.10.2020;11;Wildtier;3;Unbestimmbar;0;0;Anderes
Bsp;west;bsp_079;08.10.2020;11;Mensch;6;Unbestimmbar;Biker;Hund_ohne_Leine;0
