"","Wochentag","Phase","Total"
"1","Montag","Normal",19.8852459016393
"2","Montag","Lockdown_1",56.1111111111111
"3","Montag","Covid",32.2549019607843
"4","Montag","Lockdown_2",10.5
"5","Dienstag","Normal",18.8709677419355
"6","Dienstag","Lockdown_1",42.375
"7","Dienstag","Covid",30.1320754716981
"8","Dienstag","Lockdown_2",18.2
"9","Mittwoch","Normal",19.2903225806452
"10","Mittwoch","Lockdown_1",55.375
"11","Mittwoch","Covid",30.1176470588235
"12","Mittwoch","Lockdown_2",18.9
"13","Donnerstag","Normal",22.6031746031746
"14","Donnerstag","Lockdown_1",57.875
"15","Donnerstag","Covid",34.921568627451
"16","Donnerstag","Lockdown_2",17.4
"17","Freitag","Normal",19.8888888888889
"18","Freitag","Lockdown_1",83.125
"19","Freitag","Covid",38.5098039215686
"20","Freitag","Lockdown_2",25.4
"21","Samstag","Normal",40.2380952380952
"22","Samstag","Lockdown_1",136.875
"23","Samstag","Covid",63.8235294117647
"24","Samstag","Lockdown_2",53.9
"25","Sonntag","Normal",62.1129032258064
"26","Sonntag","Lockdown_1",179.625
"27","Sonntag","Covid",113.588235294118
"28","Sonntag","Lockdown_2",76.6
