transaction_id;date;trans_date;week;year;meal_name;article_description;label_content;condit;card_num;gender;member;age;price_article;total_amount_pay;pay_description;shop_description;tot_ubp;buffet_animal
2317152;2017-10-02;2017-10-02T12:07:19Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1221571;F;Studierende;23;8;8;Badge (Debit);Grüental Mensa;4501.677699269621;NA
2338081;2017-10-06;2017-10-06T11:59:18Z;40;2017;Bolognese;Favorite;Fleisch;Basis;1231043;F;Mitarbeitende;28;8;8;Badge (Debit);Grüental Mensa;4503.237962855799;NA
2327077;2017-10-04;2017-10-04T11:16:14Z;40;2017;Pouletschenkel;Local Favorite;Fleisch;Basis;1236547;M;Studierende;22;7;8.5;Badge (Debit);Vista Mensa;NA;NA
2332587;2017-10-05;2017-10-05T11:40:44Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;1222083;M;Studierende;21;7;7;Badge (Debit);Vista Mensa;4587.029286216372;NA
2322993;2017-10-03;2017-10-03T12:10:14Z;40;2017;Panna E Pancetta;World;Fleisch;Basis;971006;F;Mitarbeitende;29;8;8;Badge (Debit);Vista Mensa;3461.9003510770394;NA
2327496;2017-10-04;2017-10-04T11:35:17Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;949059;M;Studierende;24;7;7;Badge (Debit);Vista Mensa;4755.079731851136;NA
2321355;2017-10-03;2017-10-03T11:18:57Z;40;2017;Chickeria;Favorite;Fleisch;Basis;1404356;M;Mitarbeitende;51;8;8;Badge (Debit);Vista Mensa;4785.5684223208855;NA
2317566;2017-10-02;2017-10-02T12:28:54Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1585704;M;Mitarbeitende;37;8;9.5;Badge (Debit);Vista Mensa;4501.677699269621;NA
2332584;2017-10-05;2017-10-05T11:40:43Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;1456963;M;Studierende;24;7;7;Badge (Debit);Grüental Mensa;4587.029286216372;NA
2318075;2017-10-02;2017-10-02T12:56:49Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1609475;M;Studierende;29;7;8;Badge (Debit);Grüental Mensa;4501.677699269621;NA
2323379;2017-10-03;2017-10-03T12:27:11Z;40;2017;Panna E Pancetta;World;Fleisch;Basis;787174;M;Studierende;49;8;8;Badge (Debit);Vista Mensa;3461.9003510770394;NA
2315666;2017-10-02;2017-10-02T11:17:05Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1145923;M;Studierende;27;7;7;Badge (Debit);Grüental Mensa;4501.677699269621;NA
2333125;2017-10-05;2017-10-05T12:00:56Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;1412291;F;Mitarbeitende;26;8;8;Badge (Debit);Grüental Mensa;4587.029286216372;NA
2333071;2017-10-05;2017-10-05T11:57:08Z;40;2017;Kalbs-Geschnetzeltes Zürcher Art;Kitchen;Fleisch;Basis;1479107;M;Studierende;22;13;15.5;Badge (Debit);Grüental Mensa;7792.316825932042;NA
2337646;2017-10-06;2017-10-06T11:42:43Z;40;2017;Bolognese;Favorite;Fleisch;Basis;1047107;F;Studierende;25;7;7;Badge (Debit);Vista Mensa;4503.237962855799;NA
2337595;2017-10-06;2017-10-06T11:40:58Z;40;2017;Bolognese;Favorite;Fleisch;Basis;1430083;F;Studierende;23;7;7;Badge (Debit);Vista Mensa;4503.237962855799;NA
2328046;2017-10-04;2017-10-04T11:51:08Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1477827;M;Studierende;22;7;9.5;Badge (Debit);Vista Mensa;4755.079731851136;NA
2321730;2017-10-03;2017-10-03T11:34:36Z;40;2017;Chickeria;Favorite;Fleisch;Basis;1628483;M;Studierende;23;7;7;Badge (Debit);Vista Mensa;4785.5684223208855;NA
2328563;2017-10-04;2017-10-04T12:16:05Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1171523;M;Studierende;25;8;8;Badge (Debit);Vista Mensa;4755.079731851136;NA
2327307;2017-10-04;2017-10-04T11:29:15Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1492931;M;Studierende;24;7;7;Badge (Debit);Vista Mensa;4755.079731851136;NA
2333566;2017-10-05;2017-10-05T12:19:23Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;971118;M;Studierende;21;7;7;Badge (Debit);Vista Mensa;4587.029286216372;NA
2328059;2017-10-04;2017-10-04T11:51:41Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1231043;F;Mitarbeitende;28;8;8;Badge (Debit);Grüental Mensa;4755.079731851136;NA
2332240;2017-10-05;2017-10-05T11:23:48Z;40;2017;Kalbs-Geschnetzeltes Zürcher Art;Kitchen;Fleisch;Basis;1273411;F;Studierende;23;12;12;Badge (Debit);Vista Mensa;7792.316825932042;NA
2332661;2017-10-05;2017-10-05T11:42:12Z;40;2017;Kalbs-Geschnetzeltes Zürcher Art;Kitchen;Fleisch;Basis;791427;M;Studierende;23;12;12;Badge (Debit);Vista Mensa;7792.316825932042;NA
2334083;2017-10-05;2017-10-05T12:46:48Z;40;2017;Kalbs-Geschnetzeltes Zürcher Art;Kitchen;Fleisch;Basis;1404584;M;Studierende;32;12;12;Badge (Debit);Grüental Mensa;7792.316825932042;NA
2316388;2017-10-02;2017-10-02T11:42:06Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1559107;M;Studierende;23;7;7;Badge (Debit);Vista Mensa;4501.677699269621;NA
2327695;2017-10-04;2017-10-04T11:42:04Z;40;2017;Schweins Cordon Bleu Broccoli;Kitchen;Fleisch;Basis;729667;M;Studierende;22;12;12;Badge (Debit);Vista Mensa;4885.087719672601;NA
2338232;2017-10-06;2017-10-06T12:07:02Z;40;2017;Bolognese;Favorite;Fleisch;Basis;786056;M;Mitarbeitende;45;8;8;Badge (Debit);Grüental Mensa;4503.237962855799;NA
2337417;2017-10-06;2017-10-06T11:34:59Z;40;2017;Bolognese;Favorite;Fleisch;Basis;1222083;M;Studierende;21;7;7;Badge (Debit);Vista Mensa;4503.237962855799;NA
2321385;2017-10-03;2017-10-03T11:21:26Z;40;2017;Chickeria;Favorite;Fleisch;Basis;785909;F;Studierende;25;7;14;Badge (Debit);Vista Mensa;4785.5684223208855;NA
2327063;2017-10-04;2017-10-04T11:15:02Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;732675;M;Studierende;22;7;7;Badge (Debit);Vista Mensa;4755.079731851136;NA
2315963;2017-10-02;2017-10-02T11:31:58Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1456835;M;Studierende;26;7;7;Badge (Debit);Vista Mensa;4501.677699269621;NA
2338711;2017-10-06;2017-10-06T12:32:55Z;40;2017;Bolognese;Favorite;Fleisch;Basis;1216771;M;Studierende;30;7;7;Badge (Debit);Grüental Mensa;4503.237962855799;NA
2322402;2017-10-03;2017-10-03T11:49:55Z;40;2017;Chickeria;Favorite;Fleisch;Basis;1669699;M;Studierende;27;7;7;Badge (Debit);Grüental Mensa;4785.5684223208855;NA
2327557;2017-10-04;2017-10-04T11:37:24Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1350595;F;Studierende;29;7;15.6;Badge (Debit);Vista Mensa;4755.079731851136;NA
2321554;2017-10-03;2017-10-03T11:28:01Z;40;2017;Panna E Pancetta;World;Fleisch;Basis;985987;M;Studierende;23;7;7;Badge (Debit);Vista Mensa;3461.9003510770394;NA
2332158;2017-10-05;2017-10-05T11:19:43Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;1615299;M;Mitarbeitende;37;8;9.5;Badge (Debit);Vista Mensa;4587.029286216372;NA
2329074;2017-10-04;2017-10-04T12:47:34Z;40;2017;Schweins Cordon Bleu Broccoli;Kitchen;Fleisch;Basis;1469891;M;Studierende;24;12;12;Badge (Debit);Grüental Mensa;4885.087719672601;NA
2332161;2017-10-05;2017-10-05T11:20:01Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;1404668;M;Mitarbeitende;47;8;8;Badge (Debit);Vista Mensa;4587.029286216372;NA
2332533;2017-10-05;2017-10-05T11:39:25Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;970249;M;Studierende;24;7;7;Badge (Debit);Vista Mensa;4587.029286216372;NA
2332238;2017-10-05;2017-10-05T11:23:41Z;40;2017;Glarner Netzbraten;Local Favorite;Fleisch;Basis;956483;M;Studierende;26;7;7;Badge (Debit);Vista Mensa;NA;NA
2328304;2017-10-04;2017-10-04T12:04:53Z;40;2017;Schweins Cordon Bleu Broccoli;Kitchen;Fleisch;Basis;970815;M;Mitarbeitende;38;13;13;Badge (Debit);Grüental Mensa;4885.087719672601;NA
2321541;2017-10-03;2017-10-03T11:27:38Z;40;2017;Chickeria;Favorite;Fleisch;Basis;1404643;F;Mitarbeitende;30;8;8;Badge (Debit);Grüental Mensa;4785.5684223208855;NA
2327369;2017-10-04;2017-10-04T11:31:07Z;40;2017;Pouletschenkel;Local Favorite;Fleisch;Basis;1384387;F;Studierende;23;7;7;Badge (Debit);Vista Mensa;NA;NA
2321459;2017-10-03;2017-10-03T11:24:22Z;40;2017;Chickeria;Favorite;Fleisch;Basis;971117;M;Studierende;24;7;7;Badge (Debit);Vista Mensa;4785.5684223208855;NA
2321633;2017-10-03;2017-10-03T11:31:55Z;40;2017;Chickeria;Favorite;Fleisch;Basis;972099;M;Studierende;27;7;7.5;Badge (Debit);Vista Mensa;4785.5684223208855;NA
2337369;2017-10-06;2017-10-06T11:31:57Z;40;2017;Gebratenes ASC-Tilapiafilet;World;Fleisch;Basis;785999;M;Studierende;25;7;7;Badge (Debit);Vista Mensa;3247.3269736910693;NA
2333064;2017-10-05;2017-10-05T11:56:52Z;40;2017;Kalbs-Geschnetzeltes Zürcher Art;Kitchen;Fleisch;Basis;1459395;M;Studierende;24;12;20;Badge (Debit);Vista Mensa;7792.316825932042;NA
2321774;2017-10-03;2017-10-03T11:35:50Z;40;2017;Panna E Pancetta;World;Fleisch;Basis;970282;F;Studierende;25;7;7;Badge (Debit);Vista Mensa;3461.9003510770394;NA
2337923;2017-10-06;2017-10-06T11:51:40Z;40;2017;Bolognese;Favorite;Fleisch;Basis;1459139;F;Studierende;24;7;8.9;Badge (Debit);Grüental Mensa;4503.237962855799;NA
2333311;2017-10-05;2017-10-05T12:08:55Z;40;2017;Bauern-Braten;Favorite;Fleisch;Basis;970358;M;Studierende;24;7;7;Badge (Debit);Grüental Mensa;4587.029286216372;NA
2316581;2017-10-02;2017-10-02T11:46:35Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;819203;F;Studierende;24;7;7;Badge (Debit);Vista Mensa;4501.677699269621;NA
2327316;2017-10-04;2017-10-04T11:29:36Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1349571;M;Studierende;23;7;7;Badge (Debit);Vista Mensa;4755.079731851136;NA
2321431;2017-10-03;2017-10-03T11:23:21Z;40;2017;Panna E Pancetta;World;Fleisch;Basis;1670794;M;Mitarbeitende;43;8;8;Badge (Debit);Grüental Mensa;3461.9003510770394;NA
2327796;2017-10-04;2017-10-04T11:44:38Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1542403;M;Studierende;24;7;7;Badge (Debit);Vista Mensa;4755.079731851136;NA
2328998;2017-10-04;2017-10-04T12:41:54Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1570627;M;Studierende;22;8;8;Badge (Debit);Grüental Mensa;4755.079731851136;NA
2328407;2017-10-04;2017-10-04T12:09:34Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1585695;M;Mitarbeitende;36;8;8;Badge (Debit);Grüental Mensa;4755.079731851136;NA
2317380;2017-10-02;2017-10-02T12:18:11Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1404366;F;Mitarbeitende;46;8;8;Badge (Debit);Vista Mensa;4501.677699269621;NA
2337917;2017-10-06;2017-10-06T11:51:25Z;40;2017;Bolognese;Favorite;Fleisch;Basis;888323;F;Studierende;22;7;7;Badge (Debit);Grüental Mensa;4503.237962855799;NA
2316137;2017-10-02;2017-10-02T11:36:11Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1179651;M;Studierende;22;7;7;Badge (Debit);Vista Mensa;4501.677699269621;NA
2316574;2017-10-02;2017-10-02T11:46:24Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;949059;M;Studierende;24;7;7;Badge (Debit);Vista Mensa;4501.677699269621;NA
2327923;2017-10-04;2017-10-04T11:47:33Z;40;2017;Kalbsbratwurst Nudeln;World;Fleisch;Basis;1507971;M;Studierende;23;7;7;Badge (Debit);Grüental Mensa;4755.079731851136;NA
2317166;2017-10-02;2017-10-02T12:08:13Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;786140;M;Mitarbeitende;45;8;16;Badge (Debit);Grüental Mensa;4501.677699269621;NA
2316935;2017-10-02;2017-10-02T11:57:21Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;1261507;F;Studierende;23;7;7;Badge (Debit);Grüental Mensa;4501.677699269621;NA
2317391;2017-10-02;2017-10-02T12:18:40Z;40;2017;Schweins-Geschnetzeltes;Favorite;Fleisch;Basis;972099;M;Studierende;27;7;7;Badge (Debit);Vista Mensa;4501.677699269621;NA
