Kreis (r12.5);X;Y;Deckungsgrad Rubus sp.[%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684800;237100;30;40;77
1;684800;237375;5;70;90
2;684775;237075;5;25;90
3;684775;237250;5;15;90
4;684750;237300;30;5;85
5;684725;237200;10;35;65
6;684725;237300;60;50;40
7;684700;237175;15;15;60
8;684700;237225;15;10;60
9;684700;237300;70;45;45
10;684650;237150;10;60;50
11;684650;237375;65;35;60
12;684625;237225;10;20;75
13;684625;237275;95;10;40
14;684625;237350;50;10;45
15;684600;237425;95;35;40
16;684550;237375;60;25;30
17;684525;237400;85;35;30
18;684500;237300;60;50;15
19;684500;237400;90;30;40
20;684475;237275;60;50;30
21;684425;237275;45;60;70
22;684425;237400;60;45;20
23;684375;237325;5;15;15
24;684375;237350;0;0;35
