DatumUhrzeit;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT
01.01.2017 00:00;0;0;0;0
01.01.2017 01:00;0;0;0;0
01.01.2017 02:00;0;0;0;0
01.01.2017 03:00;0;0;0;0
01.01.2017 04:00;0;0;0;0
01.01.2017 05:00;0;0;0;0
01.01.2017 06:00;0;0;0;0
01.01.2017 07:00;0;0;0;0
01.01.2017 08:00;0;0;0;0
01.01.2017 09:00;0;0;0;0
01.01.2017 10:00;0;0;0;0
01.01.2017 11:00;3;1;0;0
01.01.2017 12:00;3;0;0;0
01.01.2017 13:00;1;1;0;0
01.01.2017 14:00;4;0;0;0
01.01.2017 15:00;0;2;0;0
01.01.2017 16:00;0;2;0;0
01.01.2017 17:00;0;0;0;0
01.01.2017 18:00;0;0;0;0
01.01.2017 19:00;0;0;0;0
01.01.2017 20:00;0;0;0;0
01.01.2017 21:00;0;0;0;0
01.01.2017 22:00;0;0;0;0
01.01.2017 23:00;0;0;0;0
02.01.2017 00:00;0;0;0;0
02.01.2017 01:00;0;0;0;0
02.01.2017 02:00;0;0;0;0
02.01.2017 03:00;0;0;0;0
02.01.2017 04:00;0;0;0;0
02.01.2017 05:00;0;0;0;0
02.01.2017 06:00;0;0;0;0
02.01.2017 07:00;0;0;0;0
02.01.2017 08:00;1;0;0;0
02.01.2017 09:00;1;0;0;0
02.01.2017 10:00;1;1;0;0
02.01.2017 11:00;3;0;0;0
02.01.2017 12:00;6;2;1;0
02.01.2017 13:00;3;2;1;0
02.01.2017 14:00;0;4;1;0
02.01.2017 15:00;2;0;0;0
02.01.2017 16:00;1;2;0;0
02.01.2017 17:00;0;0;0;0
02.01.2017 18:00;0;0;0;0
02.01.2017 19:00;0;0;0;0
02.01.2017 20:00;0;0;0;0
02.01.2017 21:00;0;0;0;0
02.01.2017 22:00;0;0;0;0
02.01.2017 23:00;0;0;0;0
03.01.2017 00:00;0;0;0;0
03.01.2017 01:00;0;0;0;0
03.01.2017 02:00;0;0;0;0
03.01.2017 03:00;0;0;0;0
03.01.2017 04:00;0;0;0;0
03.01.2017 05:00;0;0;0;0
03.01.2017 06:00;0;0;0;0
03.01.2017 07:00;0;0;0;0
03.01.2017 08:00;2;1;0;0
03.01.2017 09:00;0;1;0;0
03.01.2017 10:00;1;0;0;0
03.01.2017 11:00;2;0;0;0
03.01.2017 12:00;0;0;0;0
03.01.2017 13:00;0;0;0;0
03.01.2017 14:00;0;0;0;0
03.01.2017 15:00;2;0;0;0
03.01.2017 16:00;0;0;0;0
03.01.2017 17:00;0;0;0;0
03.01.2017 18:00;0;0;0;0
03.01.2017 19:00;0;0;0;0
03.01.2017 20:00;0;0;0;0
03.01.2017 21:00;0;0;0;0
03.01.2017 22:00;0;0;0;0
03.01.2017 23:00;0;0;0;0
04.01.2017 00:00;0;0;0;0
04.01.2017 01:00;0;0;0;0
04.01.2017 02:00;0;0;0;0
04.01.2017 03:00;0;0;0;0
04.01.2017 04:00;0;0;0;0
04.01.2017 05:00;0;0;0;0
04.01.2017 06:00;0;0;0;0
04.01.2017 07:00;0;0;0;0
04.01.2017 08:00;0;1;0;0
04.01.2017 09:00;0;0;0;0
04.01.2017 10:00;0;1;0;0
04.01.2017 11:00;0;0;0;0
04.01.2017 12:00;2;1;0;0
04.01.2017 13:00;1;2;0;1
04.01.2017 14:00;0;0;0;0
04.01.2017 15:00;1;2;0;0
04.01.2017 16:00;0;0;0;0
04.01.2017 17:00;0;0;0;0
04.01.2017 18:00;0;0;0;0
04.01.2017 19:00;0;0;0;0
04.01.2017 20:00;0;0;0;0
04.01.2017 21:00;0;0;0;0
04.01.2017 22:00;0;0;0;0
04.01.2017 23:00;0;0;0;0
05.01.2017 00:00;0;0;0;0
05.01.2017 01:00;0;0;0;0
05.01.2017 02:00;0;0;0;0
05.01.2017 03:00;0;0;0;0
05.01.2017 04:00;0;0;0;0
05.01.2017 05:00;0;0;0;0
05.01.2017 06:00;0;0;0;0
05.01.2017 07:00;0;0;0;0
05.01.2017 08:00;0;0;0;0
05.01.2017 09:00;0;0;0;0
05.01.2017 10:00;0;0;0;0
05.01.2017 11:00;1;1;0;0
05.01.2017 12:00;0;0;0;0
05.01.2017 13:00;0;0;0;0
05.01.2017 14:00;0;0;0;0
05.01.2017 15:00;0;0;1;0
05.01.2017 16:00;0;0;0;0
05.01.2017 17:00;0;0;0;0
05.01.2017 18:00;0;0;0;0
05.01.2017 19:00;0;0;0;0
05.01.2017 20:00;0;0;0;0
05.01.2017 21:00;0;0;0;0
05.01.2017 22:00;0;0;0;0
05.01.2017 23:00;0;0;0;0
06.01.2017 00:00;0;0;0;0
06.01.2017 01:00;0;0;0;0
06.01.2017 02:00;0;0;0;0
06.01.2017 03:00;0;0;0;0
06.01.2017 04:00;0;0;0;0
06.01.2017 05:00;1;0;0;0
06.01.2017 06:00;0;0;0;0
06.01.2017 07:00;0;0;0;0
06.01.2017 08:00;0;0;0;0
06.01.2017 09:00;0;0;0;0
06.01.2017 10:00;0;0;0;0
06.01.2017 11:00;7;0;0;0
06.01.2017 12:00;1;0;0;0
06.01.2017 13:00;3;0;1;0
06.01.2017 14:00;1;4;0;0
06.01.2017 15:00;0;0;0;0
06.01.2017 16:00;0;0;0;0
06.01.2017 17:00;0;0;0;0
06.01.2017 18:00;6;0;0;0
06.01.2017 19:00;0;0;0;0
06.01.2017 20:00;0;0;0;0
06.01.2017 21:00;3;4;0;0
06.01.2017 22:00;0;0;0;0
06.01.2017 23:00;0;0;0;0
07.01.2017 00:00;0;0;0;0
07.01.2017 01:00;0;0;0;0
07.01.2017 02:00;0;0;0;0
07.01.2017 03:00;0;0;0;0
07.01.2017 04:00;0;0;0;0
07.01.2017 05:00;0;0;0;0
07.01.2017 06:00;0;0;0;0
07.01.2017 07:00;0;0;0;0
07.01.2017 08:00;0;0;0;0
07.01.2017 09:00;2;0;0;0
07.01.2017 10:00;2;0;0;0
07.01.2017 11:00;1;0;0;0
07.01.2017 12:00;1;1;1;0
07.01.2017 13:00;3;0;1;0
07.01.2017 14:00;2;0;1;0
07.01.2017 15:00;2;2;0;0
07.01.2017 16:00;1;0;0;0
07.01.2017 17:00;0;1;0;0
07.01.2017 18:00;0;0;0;0
07.01.2017 19:00;0;0;0;0
07.01.2017 20:00;0;0;0;0
07.01.2017 21:00;0;0;0;0
07.01.2017 22:00;0;0;0;0
07.01.2017 23:00;0;0;0;0
08.01.2017 00:00;0;0;0;0
08.01.2017 01:00;0;0;0;0
08.01.2017 02:00;0;0;0;0
08.01.2017 03:00;0;0;0;0
08.01.2017 04:00;0;0;0;0
08.01.2017 05:00;0;0;0;0
08.01.2017 06:00;0;0;0;0
08.01.2017 07:00;0;0;0;0
08.01.2017 08:00;1;0;0;0
08.01.2017 09:00;2;0;0;0
08.01.2017 10:00;2;0;0;0
08.01.2017 11:00;0;2;0;0
08.01.2017 12:00;8;2;0;0
08.01.2017 13:00;7;1;0;0
08.01.2017 14:00;4;4;0;0
08.01.2017 15:00;2;2;1;0
08.01.2017 16:00;0;0;0;0
08.01.2017 17:00;0;0;0;0
08.01.2017 18:00;0;0;0;0
08.01.2017 19:00;0;0;0;0
08.01.2017 20:00;0;0;0;0
08.01.2017 21:00;0;0;0;0
08.01.2017 22:00;0;0;0;0
08.01.2017 23:00;0;0;0;0
09.01.2017 00:00;0;0;0;0
09.01.2017 01:00;0;0;0;0
09.01.2017 02:00;0;0;0;0
09.01.2017 03:00;0;0;0;0
09.01.2017 04:00;0;0;0;0
09.01.2017 05:00;0;0;0;0
09.01.2017 06:00;0;0;0;0
09.01.2017 07:00;0;0;0;0
09.01.2017 08:00;0;1;0;0
09.01.2017 09:00;0;0;0;0
09.01.2017 10:00;0;0;0;0
09.01.2017 11:00;1;0;0;0
09.01.2017 12:00;2;0;0;0
09.01.2017 13:00;0;1;0;0
09.01.2017 14:00;0;0;0;0
09.01.2017 15:00;0;0;0;0
09.01.2017 16:00;0;0;0;0
09.01.2017 17:00;0;0;0;0
09.01.2017 18:00;0;0;0;0
09.01.2017 19:00;0;0;0;0
09.01.2017 20:00;0;0;0;0
09.01.2017 21:00;0;0;0;0
09.01.2017 22:00;0;0;0;0
09.01.2017 23:00;0;0;0;0
10.01.2017 00:00;0;0;0;0
10.01.2017 01:00;0;0;0;0
10.01.2017 02:00;0;0;0;0
10.01.2017 03:00;0;0;0;0
10.01.2017 04:00;0;0;0;0
10.01.2017 05:00;0;0;0;0
10.01.2017 06:00;0;0;0;0
10.01.2017 07:00;0;0;0;0
10.01.2017 08:00;2;0;0;0
10.01.2017 09:00;0;3;0;0
10.01.2017 10:00;0;0;0;0
10.01.2017 11:00;0;0;0;0
10.01.2017 12:00;0;0;0;0
10.01.2017 13:00;0;0;0;0
10.01.2017 14:00;2;1;0;0
10.01.2017 15:00;0;0;0;0
10.01.2017 16:00;0;0;0;0
10.01.2017 17:00;0;0;0;0
10.01.2017 18:00;0;0;0;0
10.01.2017 19:00;0;0;0;0
10.01.2017 20:00;0;0;0;0
10.01.2017 21:00;0;0;0;0
10.01.2017 22:00;0;0;0;0
10.01.2017 23:00;0;0;0;0
11.01.2017 00:00;0;0;0;0
11.01.2017 01:00;0;0;0;0
11.01.2017 02:00;0;0;0;0
11.01.2017 03:00;0;0;0;0
11.01.2017 04:00;0;0;0;0
11.01.2017 05:00;0;0;0;0
11.01.2017 06:00;0;0;0;0
11.01.2017 07:00;0;0;0;0
11.01.2017 08:00;0;0;0;0
11.01.2017 09:00;0;1;0;0
11.01.2017 10:00;1;1;0;0
11.01.2017 11:00;0;0;0;0
11.01.2017 12:00;1;0;0;0
11.01.2017 13:00;2;0;0;0
11.01.2017 14:00;0;0;0;0
11.01.2017 15:00;0;1;0;0
11.01.2017 16:00;0;0;0;0
11.01.2017 17:00;0;0;0;0
11.01.2017 18:00;0;0;0;0
11.01.2017 19:00;0;0;0;0
11.01.2017 20:00;0;0;0;0
11.01.2017 21:00;0;0;0;0
11.01.2017 22:00;0;0;0;0
11.01.2017 23:00;0;0;0;0
12.01.2017 00:00;0;0;0;0
12.01.2017 01:00;1;0;0;0
12.01.2017 02:00;0;0;0;0
12.01.2017 03:00;0;0;0;0
12.01.2017 04:00;0;0;0;0
12.01.2017 05:00;0;0;0;0
12.01.2017 06:00;0;0;0;0
12.01.2017 07:00;0;0;0;0
12.01.2017 08:00;0;0;0;0
12.01.2017 09:00;0;0;0;0
12.01.2017 10:00;0;0;0;0
12.01.2017 11:00;0;0;0;0
12.01.2017 12:00;0;0;0;0
12.01.2017 13:00;0;0;0;0
12.01.2017 14:00;2;2;0;0
12.01.2017 15:00;0;0;0;0
12.01.2017 16:00;0;0;0;0
12.01.2017 17:00;0;0;0;0
