Kanton,Gemeinde,Schweizer,Ausländer,Einbürgerungen,Ja,Nein,Anteil Schweizer,Anteil Ausl,Anteil Ja,Anteil Nein,Einwohner,Quantile
TG,Aadorf,7114,1304,10,1742,1199,0.8450938465,0.1549061535,0.5923155389,0.4076844611,8418,90% - 99%
AG,Aarau,16105,3998,58,3243,4935,0.8011242103,0.1988757897,0.3965517241,0.6034482759,20103,90% - 99%
BE,Aarberg,3728,454,12,909,805,0.8914395026,0.1085604974,0.5303383897,0.4696616103,4182,75% - 90%
AG,Aarburg,4214,2979,32,1028,677,0.5858473516,0.4141526484,0.6029325513,0.3970674487,7193,90% - 99%
BE,Aarwangen,3671,558,8,944,670,0.8680539135,0.1319460865,0.58488228,0.41511772,4229,75% - 90%
AG,Abtwil,836,110,0,206,121,0.8837209302,0.1162790698,0.629969419,0.370030581,946,25% - 50%
VD,Aclens,379,119,1,64,126,0.7610441767,0.2389558233,0.3368421053,0.6631578947,498,0% - 25%
TI,Acquarossa,1641,215,4,420,185,0.8841594828,0.1158405172,0.694214876,0.305785124,1856,50% - 75%
BE,Adelboden,3269,231,4,1263,497,0.934,0.066,0.7176136364,0.2823863636,3500,75% - 90%
LU,Adligenswil,4866,540,11,1099,1310,0.9001109878,0.09988901221,0.4562058946,0.5437941054,5406,75% - 90%
ZH,Adlikon,538,23,0,217,84,0.9590017825,0.04099821747,0.7209302326,0.2790697674,561,0% - 25%
ZH,Adliswil,12274,5763,117,2857,2937,0.6804901037,0.3195098963,0.4930963065,0.5069036935,18037,90% - 99%
SO,Aedermannsdorf,534,21,0,170,105,0.9621621622,0.03783783784,0.6181818182,0.3818181818,555,0% - 25%
BE,Aefligen,1008,72,0,305,133,0.9333333333,0.06666666667,0.696347032,0.303652968,1080,25% - 50%
BE,Aegerten,1534,247,6,403,280,0.8613138686,0.1386861314,0.5900439239,0.4099560761,1781,50% - 75%
BL,Aesch (BL),7897,2323,43,1657,1670,0.7727005871,0.2272994129,0.4980462879,0.5019537121,10220,90% - 99%
LU,Aesch (LU),924,85,1,305,143,0.9157581764,0.08424182359,0.6808035714,0.3191964286,1009,25% - 50%
ZH,Aesch (ZH),1003,154,2,304,283,0.8668971478,0.1331028522,0.5178875639,0.4821124361,1157,25% - 50%
SO,Aeschi (SO),1145,68,1,338,263,0.943940643,0.05605935697,0.5623960067,0.4376039933,1213,25% - 50%
BE,Aeschi bei Spiez,2036,87,6,580,372,0.9590202544,0.04097974564,0.6092436975,0.3907563025,2123,50% - 75%
ZH,Aeugst am Albis,1678,277,6,415,439,0.8583120205,0.1416879795,0.4859484778,0.5140515222,1955,50% - 75%
TG,Affeltrangen,2067,339,0,654,268,0.8591022444,0.1408977556,0.7093275488,0.2906724512,2406,50% - 75%
ZH,Affoltern am Albis,8340,2936,55,1947,1836,0.7396239801,0.2603760199,0.5146708961,0.4853291039,11276,90% - 99%
BE,Affoltern im Emmental,1102,40,6,332,145,0.9649737303,0.0350262697,0.6960167715,0.3039832285,1142,25% - 50%
VS,Agarn,727,75,0,213,157,0.9064837905,0.09351620948,0.5756756757,0.4243243243,802,25% - 50%
VD,Agiez,241,40,0,49,71,0.8576512456,0.1423487544,0.4083333333,0.5916666667,281,0% - 25%
TI,Agno,2878,1296,32,993,347,0.6895064686,0.3104935314,0.7410447761,0.2589552239,4174,75% - 90%
VD,Aigle,5901,3802,67,1199,1458,0.608162424,0.391837576,0.4512608205,0.5487391795,9703,90% - 99%
GE,Aire-la-Ville,905,203,1,180,262,0.8167870036,0.1832129964,0.407239819,0.592760181,1108,25% - 50%
TI,Airolo,1183,374,9,429,155,0.7597944766,0.2402055234,0.7345890411,0.2654109589,1557,50% - 75%
LU,Alberswil,519,71,1,160,65,0.8796610169,0.1203389831,0.7111111111,0.2888888889,590,0% - 25%
VS,Albinen,242,26,0,69,66,0.9029850746,0.09701492537,0.5111111111,0.4888888889,268,0% - 25%
BE,Alchenstorf,547,20,0,170,82,0.9647266314,0.03527336861,0.6746031746,0.3253968254,567,0% - 25%
VD,Allaman,297,114,1,57,100,0.7226277372,0.2773722628,0.3630573248,0.6369426752,411,0% - 25%
