"Altitude";"Inclination";"Heat index";"Microrelief";"Grazing intensity";"Litter";"Stones and rocks";"Gravel";"Fine soil";"pH";"Conductivity";"CaCO3";"N total";"C org";"CN ratio";"Temperature";"Temperature range";"Precipitation"
"Altitude";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.830955880548375;-0.679451394857439;0
"Inclination";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Heat index";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Microrelief";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Grazing intensity";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Litter";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Stones and rocks";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Gravel";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Fine soil";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"pH";0;0;0;0;0;0;0;0;0;1;0.67467804629917;0;0;0;0;0;0;0
"Conductivity";0;0;0;0;0;0;0;0;0;0.67467804629917;1;0;0;0;0;0;0;0
"CaCO3";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"N total";0;0;0;0;0;0;0;0;0;0;0;0;1;0.955113253655496;0;0;0;0
"C org";0;0;0;0;0;0;0;0;0;0;0;0;0.955113253655496;1;0;0;0;0
"CN ratio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Temperature";-0.830955880548375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.690078417330457;-0.623705252624362
"Temperature range";-0.679451394857439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.690078417330457;1;0
"Precipitation";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.623705252624362;0;1
